"Blooket Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)",,
246,"In a bag of marbles, 50% are black. You know there are 19 black marbles. How many total marbles are in the bag?",38,,,,60,,,typing
247,"In a bag of marbles, 40% are white. You know there are 22 white marbles. How many total marbles are in the bag?",55,,,,60,,,typing
248,"In a bag of marbles, 30% are white. You know there are 12 white marbles. How many total marbles are in the bag?",40,,,,60,,,typing
249,"In a bag of marbles, 70% are violet. You know there are 49 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
250,"In a bag of marbles, 30% are violet. You know there are 12 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
251,"In a bag of marbles, 30% are red. You know there are 24 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
252,"In a bag of marbles, 60% are black. You know there are 39 black marbles. How many total marbles are in the bag?",65,,,,60,,,typing
253,"In a bag of marbles, 40% are orange. You know there are 30 orange marbles. How many total marbles are in the bag?",75,,,,60,,,typing
254,"In a bag of marbles, 25% are black. You know there are 21 black marbles. How many total marbles are in the bag?",84,,,,60,,,typing
255,"In a bag of marbles, 10% are black. You know there are 5 black marbles. How many total marbles are in the bag?",50,,,,60,,,typing
256,"In a bag of marbles, 40% are yellow. You know there are 20 yellow marbles. How many total marbles are in the bag?",50,,,,60,,,typing
257,"In a bag of marbles, 20% are blue. You know there are 8 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
258,"In a bag of marbles, 70% are orange. You know there are 14 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
259,"In a bag of marbles, 60% are red. You know there are 18 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
260,"In a bag of marbles, 20% are black. You know there are 16 black marbles. How many total marbles are in the bag?",80,,,,60,,,typing
261,"In a bag of marbles, 10% are black. You know there are 5 black marbles. How many total marbles are in the bag?",50,,,,60,,,typing
262,"In a bag of marbles, 60% are violet. You know there are 15 violet marbles. How many total marbles are in the bag?",25,,,,60,,,typing
263,"In a bag of marbles, 10% are red. You know there are 6 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
264,"In a bag of marbles, 40% are black. You know there are 12 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
265,"In a bag of marbles, 20% are red. You know there are 17 red marbles. How many total marbles are in the bag?",85,,,,60,,,typing
266,"In a bag of marbles, 40% are green. You know there are 20 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
267,"In a bag of marbles, 60% are yellow. You know there are 15 yellow marbles. How many total marbles are in the bag?",25,,,,60,,,typing
268,"In a bag of marbles, 60% are orange. You know there are 12 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
269,"In a bag of marbles, 10% are violet. You know there are 8 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
270,"In a bag of marbles, 20% are red. You know there are 4 red marbles. How many total marbles are in the bag?",20,,,,60,,,typing
271,"In a bag of marbles, 60% are blue. You know there are 39 blue marbles. How many total marbles are in the bag?",65,,,,60,,,typing
272,"In a bag of marbles, 60% are red. You know there are 57 red marbles. How many total marbles are in the bag?",95,,,,60,,,typing
273,"In a bag of marbles, 10% are yellow. You know there are 4 yellow marbles. How many total marbles are in the bag?",40,,,,60,,,typing
274,"In a bag of marbles, 50% are white. You know there are 35 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
275,"In a bag of marbles, 30% are green. You know there are 24 green marbles. How many total marbles are in the bag?",80,,,,60,,,typing
276,"In a bag of marbles, 30% are black. You know there are 9 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
277,"In a bag of marbles, 30% are red. You know there are 12 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
278,"In a bag of marbles, 25% are red. You know there are 10 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
279,"In a bag of marbles, 40% are black. You know there are 32 black marbles. How many total marbles are in the bag?",80,,,,60,,,typing
280,"In a bag of marbles, 25% are orange. You know there are 17 orange marbles. How many total marbles are in the bag?",68,,,,60,,,typing
281,"In a bag of marbles, 70% are red. You know there are 14 red marbles. How many total marbles are in the bag?",20,,,,60,,,typing
282,"In a bag of marbles, 75% are black. You know there are 15 black marbles. How many total marbles are in the bag?",20,,,,60,,,typing
283,"In a bag of marbles, 70% are white. You know there are 35 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
284,"In a bag of marbles, 20% are white. You know there are 17 white marbles. How many total marbles are in the bag?",85,,,,60,,,typing
285,"In a bag of marbles, 50% are red. You know there are 44 red marbles. How many total marbles are in the bag?",88,,,,60,,,typing
286,"In a bag of marbles, 50% are violet. You know there are 26 violet marbles. How many total marbles are in the bag?",52,,,,60,,,typing
287,"In a bag of marbles, 75% are blue. You know there are 36 blue marbles. How many total marbles are in the bag?",48,,,,60,,,typing
288,"In a bag of marbles, 40% are black. You know there are 34 black marbles. How many total marbles are in the bag?",85,,,,60,,,typing
289,"In a bag of marbles, 50% are white. You know there are 38 white marbles. How many total marbles are in the bag?",76,,,,60,,,typing
290,"In a bag of marbles, 75% are orange. You know there are 21 orange marbles. How many total marbles are in the bag?",28,,,,60,,,typing
291,"In a bag of marbles, 75% are orange. You know there are 69 orange marbles. How many total marbles are in the bag?",92,,,,60,,,typing
292,"In a bag of marbles, 60% are yellow. You know there are 21 yellow marbles. How many total marbles are in the bag?",35,,,,60,,,typing
293,"In a bag of marbles, 10% are blue. You know there are 6 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
294,"In a bag of marbles, 20% are white. You know there are 4 white marbles. How many total marbles are in the bag?",20,,,,60,,,typing
295,"In a bag of marbles, 10% are yellow. You know there are 8 yellow marbles. How many total marbles are in the bag?",80,,,,60,,,typing
296,"In a bag of marbles, 10% are green. You know there are 6 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
297,"In a bag of marbles, 70% are yellow. You know there are 14 yellow marbles. How many total marbles are in the bag?",20,,,,60,,,typing
298,"In a bag of marbles, 25% are red. You know there are 14 red marbles. How many total marbles are in the bag?",56,,,,60,,,typing
299,"In a bag of marbles, 50% are red. You know there are 21 red marbles. How many total marbles are in the bag?",42,,,,60,,,typing
300,"In a bag of marbles, 10% are violet. You know there are 5 violet marbles. How many total marbles are in the bag?",50,,,,60,,,typing
301,"In a bag of marbles, 25% are blue. You know there are 20 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
302,"In a bag of marbles, 60% are white. You know there are 42 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
303,"In a bag of marbles, 40% are green. You know there are 36 green marbles. How many total marbles are in the bag?",90,,,,60,,,typing
304,"In a bag of marbles, 70% are blue. You know there are 49 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
305,"In a bag of marbles, 60% are blue. You know there are 33 blue marbles. How many total marbles are in the bag?",55,,,,60,,,typing
306,"In a bag of marbles, 75% are white. You know there are 72 white marbles. How many total marbles are in the bag?",96,,,,60,,,typing
307,"In a bag of marbles, 40% are red. You know there are 26 red marbles. How many total marbles are in the bag?",65,,,,60,,,typing
308,"In a bag of marbles, 75% are red. You know there are 51 red marbles. How many total marbles are in the bag?",68,,,,60,,,typing
309,"In a bag of marbles, 20% are black. You know there are 18 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
310,"In a bag of marbles, 75% are red. You know there are 21 red marbles. How many total marbles are in the bag?",28,,,,60,,,typing
311,"In a bag of marbles, 50% are violet. You know there are 48 violet marbles. How many total marbles are in the bag?",96,,,,60,,,typing
312,"In a bag of marbles, 75% are blue. You know there are 27 blue marbles. How many total marbles are in the bag?",36,,,,60,,,typing
313,"In a bag of marbles, 25% are green. You know there are 6 green marbles. How many total marbles are in the bag?",24,,,,60,,,typing
314,"In a bag of marbles, 60% are violet. You know there are 18 violet marbles. How many total marbles are in the bag?",30,,,,60,,,typing
315,"In a bag of marbles, 60% are red. You know there are 15 red marbles. How many total marbles are in the bag?",25,,,,60,,,typing
316,"In a bag of marbles, 60% are red. You know there are 42 red marbles. How many total marbles are in the bag?",70,,,,60,,,typing
317,"In a bag of marbles, 20% are yellow. You know there are 5 yellow marbles. How many total marbles are in the bag?",25,,,,60,,,typing
318,"In a bag of marbles, 10% are orange. You know there are 5 orange marbles. How many total marbles are in the bag?",50,,,,60,,,typing
319,"In a bag of marbles, 70% are black. You know there are 28 black marbles. How many total marbles are in the bag?",40,,,,60,,,typing
320,"In a bag of marbles, 50% are white. You know there are 36 white marbles. How many total marbles are in the bag?",72,,,,60,,,typing
321,"In a bag of marbles, 75% are violet. You know there are 24 violet marbles. How many total marbles are in the bag?",32,,,,60,,,typing
322,"In a bag of marbles, 50% are yellow. You know there are 43 yellow marbles. How many total marbles are in the bag?",86,,,,60,,,typing
323,"In a bag of marbles, 30% are blue. You know there are 12 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
324,"In a bag of marbles, 70% are white. You know there are 21 white marbles. How many total marbles are in the bag?",30,,,,60,,,typing
325,"In a bag of marbles, 60% are black. You know there are 21 black marbles. How many total marbles are in the bag?",35,,,,60,,,typing
326,"In a bag of marbles, 10% are blue. You know there are 3 blue marbles. How many total marbles are in the bag?",30,,,,60,,,typing
327,"In a bag of marbles, 30% are red. You know there are 24 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
328,"In a bag of marbles, 60% are blue. You know there are 42 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
329,"In a bag of marbles, 50% are orange. You know there are 43 orange marbles. How many total marbles are in the bag?",86,,,,60,,,typing
330,"In a bag of marbles, 60% are orange. You know there are 12 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
331,"In a bag of marbles, 30% are black. You know there are 15 black marbles. How many total marbles are in the bag?",50,,,,60,,,typing
332,"In a bag of marbles, 75% are violet. You know there are 48 violet marbles. How many total marbles are in the bag?",64,,,,60,,,typing
333,"In a bag of marbles, 50% are red. You know there are 37 red marbles. How many total marbles are in the bag?",74,,,,60,,,typing
334,"In a bag of marbles, 60% are white. You know there are 30 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
335,"In a bag of marbles, 10% are green. You know there are 5 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
336,"In a bag of marbles, 40% are yellow. You know there are 38 yellow marbles. How many total marbles are in the bag?",95,,,,60,,,typing
337,"In a bag of marbles, 25% are orange. You know there are 23 orange marbles. How many total marbles are in the bag?",92,,,,60,,,typing
338,"In a bag of marbles, 20% are black. You know there are 8 black marbles. How many total marbles are in the bag?",40,,,,60,,,typing
339,"In a bag of marbles, 30% are red. You know there are 12 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
340,"In a bag of marbles, 20% are red. You know there are 5 red marbles. How many total marbles are in the bag?",25,,,,60,,,typing
341,"In a bag of marbles, 10% are red. You know there are 5 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
342,"In a bag of marbles, 50% are blue. You know there are 26 blue marbles. How many total marbles are in the bag?",52,,,,60,,,typing
343,"In a bag of marbles, 10% are blue. You know there are 9 blue marbles. How many total marbles are in the bag?",90,,,,60,,,typing
344,"In a bag of marbles, 70% are black. You know there are 14 black marbles. How many total marbles are in the bag?",20,,,,60,,,typing
345,"In a bag of marbles, 20% are yellow. You know there are 5 yellow marbles. How many total marbles are in the bag?",25,,,,60,,,typing
346,"In a bag of marbles, 30% are red. You know there are 12 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
347,"In a bag of marbles, 70% are green. You know there are 21 green marbles. How many total marbles are in the bag?",30,,,,60,,,typing
348,"In a bag of marbles, 30% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
349,"In a bag of marbles, 20% are red. You know there are 6 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
350,"In a bag of marbles, 25% are violet. You know there are 7 violet marbles. How many total marbles are in the bag?",28,,,,60,,,typing
351,"In a bag of marbles, 50% are white. You know there are 19 white marbles. How many total marbles are in the bag?",38,,,,60,,,typing
352,"In a bag of marbles, 70% are blue. You know there are 28 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
353,"In a bag of marbles, 10% are black. You know there are 6 black marbles. How many total marbles are in the bag?",60,,,,60,,,typing
354,"In a bag of marbles, 40% are yellow. You know there are 20 yellow marbles. How many total marbles are in the bag?",50,,,,60,,,typing
355,"In a bag of marbles, 75% are violet. You know there are 51 violet marbles. How many total marbles are in the bag?",68,,,,60,,,typing
356,"In a bag of marbles, 70% are red. You know there are 21 red marbles. How many total marbles are in the bag?",30,,,,60,,,typing
357,"In a bag of marbles, 25% are green. You know there are 23 green marbles. How many total marbles are in the bag?",92,,,,60,,,typing
358,"In a bag of marbles, 50% are white. You know there are 19 white marbles. How many total marbles are in the bag?",38,,,,60,,,typing
359,"In a bag of marbles, 30% are yellow. You know there are 21 yellow marbles. How many total marbles are in the bag?",70,,,,60,,,typing
360,"In a bag of marbles, 25% are black. You know there are 18 black marbles. How many total marbles are in the bag?",72,,,,60,,,typing
361,"In a bag of marbles, 30% are black. You know there are 27 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
362,"In a bag of marbles, 75% are orange. You know there are 69 orange marbles. How many total marbles are in the bag?",92,,,,60,,,typing
363,"In a bag of marbles, 20% are red. You know there are 5 red marbles. How many total marbles are in the bag?",25,,,,60,,,typing
364,"In a bag of marbles, 40% are blue. You know there are 36 blue marbles. How many total marbles are in the bag?",90,,,,60,,,typing
365,"In a bag of marbles, 50% are black. You know there are 32 black marbles. How many total marbles are in the bag?",64,,,,60,,,typing
366,"In a bag of marbles, 60% are black. You know there are 12 black marbles. How many total marbles are in the bag?",20,,,,60,,,typing
367,"In a bag of marbles, 20% are red. You know there are 7 red marbles. How many total marbles are in the bag?",35,,,,60,,,typing
368,"In a bag of marbles, 25% are orange. You know there are 23 orange marbles. How many total marbles are in the bag?",92,,,,60,,,typing
369,"In a bag of marbles, 25% are white. You know there are 15 white marbles. How many total marbles are in the bag?",60,,,,60,,,typing
370,"In a bag of marbles, 50% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",36,,,,60,,,typing
371,"In a bag of marbles, 70% are yellow. You know there are 49 yellow marbles. How many total marbles are in the bag?",70,,,,60,,,typing
372,"In a bag of marbles, 40% are violet. You know there are 32 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
373,"In a bag of marbles, 70% are black. You know there are 35 black marbles. How many total marbles are in the bag?",50,,,,60,,,typing
374,"In a bag of marbles, 75% are white. You know there are 51 white marbles. How many total marbles are in the bag?",68,,,,60,,,typing
375,"In a bag of marbles, 30% are white. You know there are 21 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
376,"In a bag of marbles, 20% are orange. You know there are 12 orange marbles. How many total marbles are in the bag?",60,,,,60,,,typing
377,"In a bag of marbles, 75% are orange. You know there are 48 orange marbles. How many total marbles are in the bag?",64,,,,60,,,typing
378,"In a bag of marbles, 40% are orange. You know there are 34 orange marbles. How many total marbles are in the bag?",85,,,,60,,,typing
379,"In a bag of marbles, 30% are orange. You know there are 27 orange marbles. How many total marbles are in the bag?",90,,,,60,,,typing
380,"In a bag of marbles, 50% are orange. You know there are 16 orange marbles. How many total marbles are in the bag?",32,,,,60,,,typing
381,"In a bag of marbles, 75% are orange. You know there are 60 orange marbles. How many total marbles are in the bag?",80,,,,60,,,typing
382,"In a bag of marbles, 70% are yellow. You know there are 56 yellow marbles. How many total marbles are in the bag?",80,,,,60,,,typing
383,"In a bag of marbles, 50% are violet. You know there are 27 violet marbles. How many total marbles are in the bag?",54,,,,60,,,typing
384,"In a bag of marbles, 20% are red. You know there are 18 red marbles. How many total marbles are in the bag?",90,,,,60,,,typing
385,"In a bag of marbles, 70% are black. You know there are 49 black marbles. How many total marbles are in the bag?",70,,,,60,,,typing
386,"In a bag of marbles, 70% are blue. You know there are 42 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
387,"In a bag of marbles, 30% are red. You know there are 6 red marbles. How many total marbles are in the bag?",20,,,,60,,,typing
388,"In a bag of marbles, 60% are red. You know there are 33 red marbles. How many total marbles are in the bag?",55,,,,60,,,typing
389,"In a bag of marbles, 75% are blue. You know there are 15 blue marbles. How many total marbles are in the bag?",20,,,,60,,,typing
390,"In a bag of marbles, 75% are blue. You know there are 39 blue marbles. How many total marbles are in the bag?",52,,,,60,,,typing
391,"In a bag of marbles, 30% are yellow. You know there are 24 yellow marbles. How many total marbles are in the bag?",80,,,,60,,,typing
392,"In a bag of marbles, 60% are green. You know there are 48 green marbles. How many total marbles are in the bag?",80,,,,60,,,typing
393,"In a bag of marbles, 25% are blue. You know there are 17 blue marbles. How many total marbles are in the bag?",68,,,,60,,,typing
394,"In a bag of marbles, 10% are yellow. You know there are 5 yellow marbles. How many total marbles are in the bag?",50,,,,60,,,typing
395,"In a bag of marbles, 75% are red. You know there are 15 red marbles. How many total marbles are in the bag?",20,,,,60,,,typing
396,"In a bag of marbles, 20% are red. You know there are 12 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
397,"In a bag of marbles, 75% are black. You know there are 66 black marbles. How many total marbles are in the bag?",88,,,,60,,,typing
398,"In a bag of marbles, 10% are orange. You know there are 5 orange marbles. How many total marbles are in the bag?",50,,,,60,,,typing
399,"In a bag of marbles, 75% are red. You know there are 60 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
400,"In a bag of marbles, 75% are violet. You know there are 54 violet marbles. How many total marbles are in the bag?",72,,,,60,,,typing
401,"In a bag of marbles, 20% are green. You know there are 10 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
402,"In a bag of marbles, 50% are violet. You know there are 11 violet marbles. How many total marbles are in the bag?",22,,,,60,,,typing
403,"In a bag of marbles, 25% are violet. You know there are 22 violet marbles. How many total marbles are in the bag?",88,,,,60,,,typing
404,"In a bag of marbles, 60% are red. You know there are 12 red marbles. How many total marbles are in the bag?",20,,,,60,,,typing
405,"In a bag of marbles, 20% are green. You know there are 7 green marbles. How many total marbles are in the bag?",35,,,,60,,,typing
406,"In a bag of marbles, 25% are violet. You know there are 20 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
407,"In a bag of marbles, 75% are red. You know there are 27 red marbles. How many total marbles are in the bag?",36,,,,60,,,typing
408,"In a bag of marbles, 75% are violet. You know there are 15 violet marbles. How many total marbles are in the bag?",20,,,,60,,,typing
409,"In a bag of marbles, 30% are red. You know there are 12 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
410,"In a bag of marbles, 60% are red. You know there are 24 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
411,"In a bag of marbles, 20% are orange. You know there are 11 orange marbles. How many total marbles are in the bag?",55,,,,60,,,typing
412,"In a bag of marbles, 50% are red. You know there are 35 red marbles. How many total marbles are in the bag?",70,,,,60,,,typing
413,"In a bag of marbles, 25% are white. You know there are 18 white marbles. How many total marbles are in the bag?",72,,,,60,,,typing
414,"In a bag of marbles, 50% are white. You know there are 16 white marbles. How many total marbles are in the bag?",32,,,,60,,,typing
415,"In a bag of marbles, 70% are red. You know there are 56 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
416,"In a bag of marbles, 20% are blue. You know there are 7 blue marbles. How many total marbles are in the bag?",35,,,,60,,,typing
417,"In a bag of marbles, 60% are yellow. You know there are 51 yellow marbles. How many total marbles are in the bag?",85,,,,60,,,typing
418,"In a bag of marbles, 40% are violet. You know there are 8 violet marbles. How many total marbles are in the bag?",20,,,,60,,,typing
419,"In a bag of marbles, 10% are orange. You know there are 6 orange marbles. How many total marbles are in the bag?",60,,,,60,,,typing
420,"In a bag of marbles, 20% are green. You know there are 8 green marbles. How many total marbles are in the bag?",40,,,,60,,,typing
421,"In a bag of marbles, 75% are orange. You know there are 60 orange marbles. How many total marbles are in the bag?",80,,,,60,,,typing
422,"In a bag of marbles, 30% are yellow. You know there are 12 yellow marbles. How many total marbles are in the bag?",40,,,,60,,,typing
423,"In a bag of marbles, 50% are blue. You know there are 22 blue marbles. How many total marbles are in the bag?",44,,,,60,,,typing
424,"In a bag of marbles, 25% are black. You know there are 14 black marbles. How many total marbles are in the bag?",56,,,,60,,,typing
425,"In a bag of marbles, 70% are green. You know there are 21 green marbles. How many total marbles are in the bag?",30,,,,60,,,typing
426,"In a bag of marbles, 30% are yellow. You know there are 18 yellow marbles. How many total marbles are in the bag?",60,,,,60,,,typing
427,"In a bag of marbles, 40% are blue. You know there are 26 blue marbles. How many total marbles are in the bag?",65,,,,60,,,typing
428,"In a bag of marbles, 40% are yellow. You know there are 16 yellow marbles. How many total marbles are in the bag?",40,,,,60,,,typing
429,"In a bag of marbles, 60% are red. You know there are 39 red marbles. How many total marbles are in the bag?",65,,,,60,,,typing
430,"In a bag of marbles, 40% are violet. You know there are 16 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
431,"In a bag of marbles, 50% are blue. You know there are 38 blue marbles. How many total marbles are in the bag?",76,,,,60,,,typing
432,"In a bag of marbles, 60% are white. You know there are 24 white marbles. How many total marbles are in the bag?",40,,,,60,,,typing
433,"In a bag of marbles, 25% are black. You know there are 7 black marbles. How many total marbles are in the bag?",28,,,,60,,,typing
434,"In a bag of marbles, 60% are blue. You know there are 45 blue marbles. How many total marbles are in the bag?",75,,,,60,,,typing
435,"In a bag of marbles, 70% are orange. You know there are 35 orange marbles. How many total marbles are in the bag?",50,,,,60,,,typing
436,"In a bag of marbles, 50% are black. You know there are 13 black marbles. How many total marbles are in the bag?",26,,,,60,,,typing
437,"In a bag of marbles, 70% are orange. You know there are 35 orange marbles. How many total marbles are in the bag?",50,,,,60,,,typing
438,"In a bag of marbles, 75% are orange. You know there are 54 orange marbles. How many total marbles are in the bag?",72,,,,60,,,typing
439,"In a bag of marbles, 60% are white. You know there are 24 white marbles. How many total marbles are in the bag?",40,,,,60,,,typing
440,"In a bag of marbles, 25% are orange. You know there are 17 orange marbles. How many total marbles are in the bag?",68,,,,60,,,typing
441,"In a bag of marbles, 50% are red. You know there are 27 red marbles. How many total marbles are in the bag?",54,,,,60,,,typing
442,"In a bag of marbles, 40% are blue. You know there are 34 blue marbles. How many total marbles are in the bag?",85,,,,60,,,typing
443,"In a bag of marbles, 20% are red. You know there are 12 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
444,"In a bag of marbles, 60% are black. You know there are 45 black marbles. How many total marbles are in the bag?",75,,,,60,,,typing
445,"In a bag of marbles, 25% are violet. You know there are 20 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
446,"In a bag of marbles, 20% are yellow. You know there are 15 yellow marbles. How many total marbles are in the bag?",75,,,,60,,,typing
447,"In a bag of marbles, 70% are blue. You know there are 49 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
448,"In a bag of marbles, 20% are violet. You know there are 14 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
449,"In a bag of marbles, 20% are red. You know there are 12 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
450,"In a bag of marbles, 75% are violet. You know there are 63 violet marbles. How many total marbles are in the bag?",84,,,,60,,,typing
451,"In a bag of marbles, 25% are green. You know there are 7 green marbles. How many total marbles are in the bag?",28,,,,60,,,typing
452,"In a bag of marbles, 10% are black. You know there are 3 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
453,"In a bag of marbles, 40% are green. You know there are 16 green marbles. How many total marbles are in the bag?",40,,,,60,,,typing
454,"In a bag of marbles, 75% are black. You know there are 27 black marbles. How many total marbles are in the bag?",36,,,,60,,,typing
455,"In a bag of marbles, 10% are violet. You know there are 3 violet marbles. How many total marbles are in the bag?",30,,,,60,,,typing
456,"In a bag of marbles, 70% are white. You know there are 49 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
457,"In a bag of marbles, 70% are violet. You know there are 49 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
458,"In a bag of marbles, 25% are green. You know there are 15 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
459,"In a bag of marbles, 75% are yellow. You know there are 69 yellow marbles. How many total marbles are in the bag?",92,,,,60,,,typing
460,"In a bag of marbles, 70% are red. You know there are 42 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
461,"In a bag of marbles, 70% are red. You know there are 28 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
462,"In a bag of marbles, 25% are green. You know there are 7 green marbles. How many total marbles are in the bag?",28,,,,60,,,typing
463,"In a bag of marbles, 50% are white. You know there are 26 white marbles. How many total marbles are in the bag?",52,,,,60,,,typing
464,"In a bag of marbles, 20% are green. You know there are 17 green marbles. How many total marbles are in the bag?",85,,,,60,,,typing
465,"In a bag of marbles, 75% are blue. You know there are 72 blue marbles. How many total marbles are in the bag?",96,,,,60,,,typing
466,"In a bag of marbles, 25% are violet. You know there are 19 violet marbles. How many total marbles are in the bag?",76,,,,60,,,typing
467,"In a bag of marbles, 70% are orange. You know there are 35 orange marbles. How many total marbles are in the bag?",50,,,,60,,,typing
468,"In a bag of marbles, 20% are green. You know there are 5 green marbles. How many total marbles are in the bag?",25,,,,60,,,typing
469,"In a bag of marbles, 10% are black. You know there are 3 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
470,"In a bag of marbles, 40% are white. You know there are 24 white marbles. How many total marbles are in the bag?",60,,,,60,,,typing
471,"In a bag of marbles, 75% are blue. You know there are 42 blue marbles. How many total marbles are in the bag?",56,,,,60,,,typing
472,"In a bag of marbles, 20% are black. You know there are 14 black marbles. How many total marbles are in the bag?",70,,,,60,,,typing
473,"In a bag of marbles, 25% are white. You know there are 18 white marbles. How many total marbles are in the bag?",72,,,,60,,,typing
474,"In a bag of marbles, 75% are violet. You know there are 21 violet marbles. How many total marbles are in the bag?",28,,,,60,,,typing
475,"In a bag of marbles, 60% are white. You know there are 54 white marbles. How many total marbles are in the bag?",90,,,,60,,,typing
476,"In a bag of marbles, 50% are green. You know there are 32 green marbles. How many total marbles are in the bag?",64,,,,60,,,typing
477,"In a bag of marbles, 40% are green. You know there are 18 green marbles. How many total marbles are in the bag?",45,,,,60,,,typing
478,"In a bag of marbles, 30% are blue. You know there are 21 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
479,"In a bag of marbles, 20% are black. You know there are 11 black marbles. How many total marbles are in the bag?",55,,,,60,,,typing
480,"In a bag of marbles, 50% are blue. You know there are 20 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
481,"In a bag of marbles, 60% are red. You know there are 24 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
482,"In a bag of marbles, 70% are orange. You know there are 56 orange marbles. How many total marbles are in the bag?",80,,,,60,,,typing
483,"In a bag of marbles, 60% are blue. You know there are 57 blue marbles. How many total marbles are in the bag?",95,,,,60,,,typing
484,"In a bag of marbles, 70% are blue. You know there are 21 blue marbles. How many total marbles are in the bag?",30,,,,60,,,typing
485,"In a bag of marbles, 60% are yellow. You know there are 18 yellow marbles. How many total marbles are in the bag?",30,,,,60,,,typing
486,"In a bag of marbles, 40% are yellow. You know there are 12 yellow marbles. How many total marbles are in the bag?",30,,,,60,,,typing
487,"In a bag of marbles, 50% are blue. You know there are 23 blue marbles. How many total marbles are in the bag?",46,,,,60,,,typing
488,"In a bag of marbles, 75% are white. You know there are 57 white marbles. How many total marbles are in the bag?",76,,,,60,,,typing
489,"In a bag of marbles, 50% are violet. You know there are 35 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
490,"In a bag of marbles, 40% are violet. You know there are 20 violet marbles. How many total marbles are in the bag?",50,,,,60,,,typing
491,"In a bag of marbles, 30% are black. You know there are 27 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
492,"In a bag of marbles, 30% are blue. You know there are 24 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
