"Blooket
Import Template",,,,,,,,,
356,"Simplify the fraction 3/24.",3/7,5/7,1/8,5/8,12,3,,
357,"Simplify the fraction 6/15.",2/5,9/4,1/5,3/7,12,1,,
358,"Simplify the fraction 56/24.",3/7,7/2,5/2,7/3,12,4,,
359,"Simplify the fraction 28/32.",1/3,1/8,2/3,7/8,12,4,,
360,"Simplify the fraction 72/56.",7/2,4/3,1/2,9/7,12,4,,
361,"Simplify the fraction 27/18.",3/5,3/2,5/4,2/5,12,2,,
362,"Simplify the fraction 18/63.",2/7,7/5,7/8,1/8,12,1,,
363,"Simplify the fraction 48/56.",5/3,1/7,9/4,6/7,12,4,,
364,"Simplify the fraction 40/16.",3/7,6/5,9/5,5/2,12,4,,
365,"Simplify the fraction 21/27.",7/9,8/3,5/6,5/3,12,1,,
366,"Simplify the fraction 28/35.",7/6,8/7,4/5,1/3,12,3,,
367,"Simplify the fraction 48/30.",1/7,8/5,1/4,9/5,12,2,,
368,"Simplify the fraction 32/72.",4/3,5/3,4/9,2/7,12,3,,
369,"Simplify the fraction 10/45.",3/5,1/6,1/5,2/9,12,4,,
370,"Simplify the fraction 7/49.",7/3,1/7,4/9,9/8,12,2,,
371,"Simplify the fraction 18/12.",8/5,3/2,9/2,1/7,12,2,,
372,"Simplify the fraction 18/10.",9/2,6/7,3/2,9/5,12,4,,
373,"Simplify the fraction 18/4.",8/9,3/8,9/8,9/2,12,4,,
374,"Simplify the fraction 24/64.",3/2,3/8,4/3,8/5,12,2,,
375,"Simplify the fraction 27/72.",2/3,3/8,7/5,3/4,12,2,,
376,"Simplify the fraction 30/35.",7/2,1/4,6/7,3/2,12,3,,
377,"Simplify the fraction 21/15.",7/5,9/7,5/9,1/7,12,1,,
378,"Simplify the fraction 14/10.",3/4,7/4,5/9,7/5,12,4,,
379,"Simplify the fraction 40/45.",8/9,7/6,8/7,7/3,12,1,,
380,"Simplify the fraction 45/40.",2/9,5/4,9/8,4/3,12,3,,
381,"Simplify the fraction 6/4.",4/5,1/9,6/7,3/2,12,4,,
382,"Simplify the fraction 15/12.",8/7,1/2,5/7,5/4,12,4,,
383,"Simplify the fraction 28/49.",9/7,2/9,4/7,9/2,12,3,,
384,"Simplify the fraction 54/12.",4/7,9/2,3/5,2/5,12,2,,
385,"Simplify the fraction 18/12.",3/2,1/5,9/2,1/8,12,1,,
386,"Simplify the fraction 4/28.",5/9,1/7,7/9,8/3,12,2,,
387,"Simplify the fraction 12/54.",4/7,1/3,5/6,2/9,12,4,,
388,"Simplify the fraction 28/63.",7/9,1/7,4/9,5/6,12,3,,
389,"Simplify the fraction 63/49.",9/5,9/7,4/7,5/7,12,2,,
390,"Simplify the fraction 45/25.",9/8,9/5,1/5,1/9,12,2,,
391,"Simplify the fraction 36/27.",5/2,4/3,9/4,7/9,12,2,,
392,"Simplify the fraction 10/12.",7/2,8/7,5/6,6/7,12,3,,
393,"Simplify the fraction 24/32.",4/7,2/9,1/7,3/4,12,4,,
394,"Simplify the fraction 42/18.",6/5,5/8,3/4,7/3,12,4,,
395,"Simplify the fraction 24/27.",1/5,4/5,8/9,3/7,12,3,,
396,"Simplify the fraction 9/12.",5/9,7/9,3/4,9/5,12,3,,
397,"Simplify the fraction 4/12.",5/7,8/9,1/3,9/2,12,3,,
398,"Simplify the fraction 5/10.",9/5,4/9,7/2,1/2,12,4,,
399,"Simplify the fraction 49/56.",7/8,1/4,1/3,8/3,12,1,,
400,"Simplify the fraction 27/12.",2/9,9/4,3/7,7/6,12,2,,
401,"Simplify the fraction 4/28.",1/4,1/7,3/2,6/7,12,2,,
402,"Simplify the fraction 21/49.",3/4,5/7,3/7,7/4,12,3,,
403,"Simplify the fraction 30/18.",3/4,9/2,5/3,5/7,12,3,,
404,"Simplify the fraction 64/40.",8/5,1/4,4/3,1/8,12,1,,
405,"Simplify the fraction 10/35.",2/7,4/9,9/4,8/3,12,1,,
406,"Simplify the fraction 15/25.",3/5,1/9,4/5,2/3,12,1,,
407,"Simplify the fraction 21/24.",2/5,4/5,9/5,7/8,12,4,,
408,"Simplify the fraction 63/56.",7/5,8/5,9/8,2/5,12,3,,
409,"Simplify the fraction 49/63.",7/9,7/4,7/3,1/6,12,1,,
410,"Simplify the fraction 7/21.",8/7,1/9,1/3,1/4,12,3,,
411,"Simplify the fraction 42/18.",7/6,1/7,7/3,9/8,12,3,,
412,"Simplify the fraction 16/56.",6/7,9/4,2/7,4/3,12,3,,
413,"Simplify the fraction 16/72.",3/5,5/6,1/2,2/9,12,4,,
414,"Simplify the fraction 45/36.",4/3,5/4,6/7,1/6,12,2,,
415,"Simplify the fraction 24/40.",3/5,2/5,8/7,5/2,12,1,,
416,"Simplify the fraction 18/24.",9/2,1/5,3/4,9/8,12,3,,
417,"Simplify the fraction 49/21.",3/4,1/7,8/3,7/3,12,4,,
418,"Simplify the fraction 21/12.",7/4,1/5,7/2,7/5,12,1,,
419,"Simplify the fraction 12/32.",2/9,5/7,2/3,3/8,12,4,,
420,"Simplify the fraction 5/35.",4/7,5/8,5/9,1/7,12,4,,
421,"Simplify the fraction 35/42.",8/3,7/3,5/4,5/6,12,4,,
422,"Simplify the fraction 16/10.",1/7,7/5,7/2,8/5,12,4,,
423,"Simplify the fraction 72/40.",4/7,6/7,9/5,5/4,12,3,,
424,"Simplify the fraction 72/56.",9/4,1/7,9/7,3/4,12,3,,
425,"Simplify the fraction 8/14.",7/8,3/8,4/7,1/6,12,3,,
426,"Simplify the fraction 48/18.",6/5,5/6,8/3,1/4,12,3,,
427,"Simplify the fraction 6/4.",7/4,3/2,9/2,8/7,12,2,,
428,"Simplify the fraction 28/24.",7/6,3/4,2/3,4/9,12,1,,
429,"Simplify the fraction 30/42.",6/7,5/7,3/8,4/7,12,2,,
430,"Simplify the fraction 8/28.",3/5,2/7,2/9,4/9,12,2,,
431,"Simplify the fraction 12/18.",9/8,5/2,5/9,2/3,12,4,,
432,"Simplify the fraction 18/30.",1/2,7/2,3/5,3/4,12,3,,
433,"Simplify the fraction 27/36.",4/3,3/4,8/3,7/9,12,2,,
434,"Simplify the fraction 27/12.",9/4,5/8,4/5,5/4,12,1,,
435,"Simplify the fraction 36/30.",6/5,5/8,4/9,3/2,12,1,,
436,"Simplify the fraction 36/45.",3/7,4/5,9/7,7/2,12,2,,
437,"Simplify the fraction 14/6.",2/5,7/9,8/3,7/3,12,4,,
438,"Simplify the fraction 36/42.",4/5,7/5,5/6,6/7,12,4,,
439,"Simplify the fraction 20/32.",3/2,1/5,9/2,5/8,12,4,,
440,"Simplify the fraction 24/30.",8/7,4/5,5/4,5/7,12,2,,
441,"Simplify the fraction 16/36.",1/9,1/2,1/3,4/9,12,4,,
442,"Simplify the fraction 10/45.",2/3,9/2,5/4,2/9,12,4,,
443,"Simplify the fraction 4/6.",9/4,7/2,8/3,2/3,12,4,,
444,"Simplify the fraction 81/72.",9/8,1/3,5/7,4/7,12,1,,
445,"Simplify the fraction 54/12.",2/9,9/2,6/5,2/5,12,2,,
446,"Simplify the fraction 8/28.",2/7,7/8,9/7,7/6,12,1,,
447,"Simplify the fraction 32/24.",4/9,1/6,4/3,9/7,12,3,,
448,"Simplify the fraction 9/24.",3/8,1/8,7/5,5/7,12,1,,
449,"Simplify the fraction 21/56.",5/4,3/8,8/5,4/9,12,2,,
450,"Simplify the fraction 45/25.",1/7,9/5,2/9,8/9,12,2,,
451,"Simplify the fraction 32/36.",1/3,2/5,3/8,8/9,12,4,,
452,"Simplify the fraction 56/16.",7/6,7/2,9/7,1/7,12,2,,
453,"Simplify the fraction 72/40.",9/5,7/5,1/2,2/9,12,1,,
454,"Simplify the fraction 40/32.",3/7,7/8,5/4,8/9,12,3,,
455,"Simplify the fraction 30/25.",6/5,7/9,5/8,1/6,12,1,,
456,"Simplify the fraction 7/56.",1/8,5/8,8/5,8/9,12,1,,
457,"Simplify the fraction 25/15.",5/7,5/3,9/2,8/7,12,2,,
458,"Simplify the fraction 54/24.",9/4,3/4,4/9,5/9,12,1,,
459,"Simplify the fraction 6/14.",4/9,3/7,6/5,7/9,12,2,,
460,"Simplify the fraction 20/36.",1/3,5/9,2/7,5/6,12,2,,
461,"Simplify the fraction 8/36.",5/9,9/2,2/5,2/9,12,4,,
462,"Simplify the fraction 35/49.",3/2,1/4,9/7,5/7,12,4,,
463,"Simplify the fraction 3/15.",5/2,4/3,1/5,5/9,12,3,,
464,"Simplify the fraction 16/56.",3/2,1/8,2/7,1/6,12,3,,
465,"Simplify the fraction 48/40.",6/5,1/7,7/6,3/5,12,1,,
466,"Simplify the fraction 24/20.",5/6,6/5,9/8,4/5,12,2,,
467,"Simplify the fraction 14/6.",5/2,7/8,1/5,7/3,12,4,,
468,"Simplify the fraction 48/18.",9/8,6/7,1/4,8/3,12,4,,
469,"Simplify the fraction 18/16.",8/5,5/8,9/8,3/5,12,3,,
470,"Simplify the fraction 25/10.",5/2,2/7,9/4,8/5,12,1,,
471,"Simplify the fraction 81/36.",9/4,6/7,1/3,3/5,12,1,,
472,"Simplify the fraction 4/14.",6/5,5/4,1/4,2/7,12,4,,
473,"Simplify the fraction 2/14.",3/2,1/7,3/7,7/2,12,2,,
474,"Simplify the fraction 63/49.",1/9,5/4,1/6,9/7,12,4,,
475,"Simplify the fraction 25/45.",3/5,5/7,5/9,5/3,12,3,,
476,"Simplify the fraction 8/16.",7/4,1/2,7/6,3/5,12,2,,
477,"Simplify the fraction 48/56.",4/9,9/8,2/9,6/7,12,4,,
478,"Simplify the fraction 3/21.",1/7,8/9,7/9,3/2,12,1,,
479,"Simplify the fraction 36/16.",3/7,9/4,3/8,5/7,12,2,,
480,"Simplify the fraction 42/12.",1/5,7/2,9/7,5/3,12,2,,
481,"Simplify the fraction 36/27.",4/3,8/9,1/8,1/5,12,1,,
482,"Simplify the fraction 35/25.",6/5,5/7,3/5,7/5,12,4,,
483,"Simplify the fraction 49/56.",2/3,1/9,3/4,7/8,12,4,,
484,"Simplify the fraction 28/12.",5/7,7/3,3/4,3/8,12,2,,
485,"Simplify the fraction 6/24.",6/7,7/2,1/3,1/4,12,4,,
486,"Simplify the fraction 48/42.",1/8,8/7,1/4,3/5,12,2,,
487,"Simplify the fraction 45/63.",7/5,8/7,5/7,8/3,12,3,,
488,"Simplify the fraction 15/40.",5/2,9/8,3/8,1/9,12,3,,
489,"Simplify the fraction 56/40.",5/6,7/5,3/5,1/4,12,2,,
490,"Simplify the fraction 40/35.",9/2,7/2,8/7,9/5,12,3,,
491,"Simplify the fraction 14/63.",6/7,1/8,2/3,2/9,12,4,,
492,"Simplify the fraction 20/32.",8/3,7/8,5/8,7/2,12,3,,
493,"Simplify the fraction 45/25.",6/7,9/5,1/7,5/9,12,2,,
494,"Simplify the fraction 49/28.",2/3,7/4,1/4,1/8,12,2,,
495,"Simplify the fraction 7/49.",9/8,4/9,9/7,1/7,12,4,,
496,"Simplify the fraction 25/45.",5/9,2/9,9/2,8/5,12,1,,
497,"Simplify the fraction 24/16.",3/2,5/9,7/9,8/7,12,1,,
498,"Simplify the fraction 16/56.",3/8,2/7,8/5,9/7,12,2,,
499,"Simplify the fraction 10/25.",1/4,7/4,2/5,5/8,12,3,,
500,"Simplify the fraction 8/64.",1/8,1/2,8/5,5/4,12,1,,
501,"Simplify the fraction 18/8.",9/4,7/9,8/3,5/7,12,1,,
502,"Simplify the fraction 4/14.",1/6,2/7,6/7,1/3,12,2,,
503,"Simplify the fraction 20/32.",7/3,6/7,5/8,7/4,12,3,,
504,"Simplify the fraction 8/72.",5/8,1/9,9/5,3/4,12,2,,
505,"Simplify the fraction 35/21.",2/7,4/7,7/6,5/3,12,4,,
506,"Simplify the fraction 4/24.",5/8,1/6,5/7,6/7,12,2,,
507,"Simplify the fraction 36/20.",7/9,9/4,9/5,4/3,12,3,,
508,"Simplify the fraction 40/45.",1/5,7/2,5/9,8/9,12,4,,
509,"Simplify the fraction 48/54.",5/9,1/4,8/9,1/7,12,3,,
510,"Simplify the fraction 16/10.",8/5,7/3,1/4,2/7,12,1,,
511,"Simplify the fraction 16/24.",2/3,1/8,7/8,5/7,12,1,,
512,"Simplify the fraction 54/30.",7/2,1/3,9/5,8/5,12,3,,
513,"Simplify the fraction 63/81.",5/6,3/7,7/9,2/9,12,3,,
514,"Simplify the fraction 64/72.",5/8,4/9,8/9,7/4,12,3,,
515,"Simplify the fraction 20/35.",4/7,5/2,1/8,6/5,12,1,,
516,"Simplify the fraction 6/36.",1/6,8/5,7/2,1/9,12,1,,
517,"Simplify the fraction 49/28.",1/7,9/5,7/4,1/2,12,3,,
518,"Simplify the fraction 21/18.",7/3,3/4,7/6,2/5,12,3,,
519,"Simplify the fraction 15/35.",4/7,7/5,3/7,9/8,12,3,,
520,"Simplify the fraction 20/15.",4/3,5/6,9/4,3/8,12,1,,
521,"Simplify the fraction 10/35.",2/7,3/4,6/5,7/6,12,1,,
522,"Simplify the fraction 49/21.",7/2,5/3,7/3,2/9,12,3,,
523,"Simplify the fraction 10/8.",1/2,8/3,5/4,1/6,12,3,,
524,"Simplify the fraction 14/35.",3/2,2/5,1/9,7/4,12,2,,
525,"Simplify the fraction 21/28.",7/5,9/4,8/7,3/4,12,4,,
526,"Simplify the fraction 32/12.",8/3,3/2,9/8,5/4,12,1,,
527,"Simplify the fraction 42/18.",1/5,7/3,1/6,2/9,12,2,,
528,"Simplify the fraction 16/20.",4/5,8/5,3/4,5/6,12,1,,
529,"Simplify the fraction 24/56.",9/4,4/3,1/3,3/7,12,4,,
530,"Simplify the fraction 3/18.",9/5,1/6,8/9,1/5,12,2,,
531,"Simplify the fraction 9/24.",4/7,1/7,2/7,3/8,12,4,,
532,"Simplify the fraction 15/35.",3/7,9/4,1/2,2/5,12,1,,
533,"Simplify the fraction 8/20.",9/8,2/5,7/3,5/4,12,2,,
534,"Simplify the fraction 24/40.",7/5,2/7,9/7,3/5,12,4,,
535,"Simplify the fraction 7/49.",9/5,1/7,7/6,4/3,12,2,,
536,"Simplify the fraction 12/9.",2/9,4/3,2/7,3/2,12,2,,
537,"Simplify the fraction 63/27.",9/7,7/3,5/2,3/4,12,2,,
538,"Simplify the fraction 63/72.",9/5,1/5,1/4,7/8,12,4,,
539,"Simplify the fraction 10/4.",9/2,5/2,1/8,1/4,12,2,,
540,"Simplify the fraction 54/24.",1/2,9/4,8/9,7/4,12,2,,
541,"Simplify the fraction 40/35.",8/7,1/8,7/2,5/6,12,1,,
542,"Simplify the fraction 24/54.",8/5,1/9,5/8,4/9,12,4,,
543,"Simplify the fraction 15/24.",7/4,9/8,5/8,2/9,12,3,,
544,"Simplify the fraction 63/72.",7/8,1/9,3/4,6/7,12,1,,
545,"Simplify the fraction 6/30.",7/8,3/7,1/5,9/7,12,3,,
546,"Simplify the fraction 7/14.",1/3,1/2,5/4,5/8,12,2,,
547,"Simplify the fraction 49/35.",9/4,7/3,7/5,3/2,12,3,,
548,"Simplify the fraction 72/56.",9/7,5/6,2/9,9/8,12,1,,
549,"Simplify the fraction 30/48.",7/5,5/8,1/4,8/9,12,2,,
550,"Simplify the fraction 42/12.",7/2,4/5,5/3,7/8,12,1,,
551,"Simplify the fraction 7/49.",2/5,2/7,1/6,1/7,12,4,,
552,"Simplify the fraction 54/45.",9/2,6/5,7/5,2/5,12,2,,
553,"Simplify the fraction 5/15.",3/5,1/3,4/3,4/7,12,2,,
554,"Simplify the fraction 21/49.",5/9,1/5,3/7,1/8,12,3,,
555,"Simplify the fraction 10/12.",3/2,5/6,2/5,1/2,12,2,,
556,"Simplify the fraction 24/56.",1/7,9/8,7/2,3/7,12,4,,
557,"Simplify the fraction 81/72.",9/8,7/8,9/4,7/4,12,1,,
558,"Simplify the fraction 40/72.",8/3,2/7,5/9,5/6,12,3,,
559,"Simplify the fraction 40/72.",1/3,5/9,4/5,5/4,12,2,,
560,"Simplify the fraction 24/9.",7/8,8/3,2/9,9/7,12,2,,
561,"Simplify the fraction 36/8.",3/7,4/7,9/5,9/2,12,4,,
562,"Simplify the fraction 45/20.",9/8,7/9,9/4,3/5,12,3,,
563,"Simplify the fraction 21/12.",5/3,7/4,5/8,9/4,12,2,,
564,"Simplify the fraction 7/28.",2/5,9/8,7/6,1/4,12,4,,
565,"Simplify the fraction 63/28.",9/4,8/9,2/5,9/8,12,1,,
566,"Simplify the fraction 42/12.",8/5,3/4,1/4,7/2,12,4,,
567,"Simplify the fraction 72/81.",3/2,5/7,8/9,8/5,12,3,,
568,"Simplify the fraction 30/35.",8/5,5/9,7/2,6/7,12,4,,
569,"Simplify the fraction 16/72.",6/7,9/4,2/9,2/7,12,3,,
570,"Simplify the fraction 54/42.",9/7,3/2,9/8,2/3,12,1,,
571,"Simplify the fraction 3/6.",1/2,7/8,2/5,3/5,12,1,,
572,"Simplify the fraction 40/25.",8/5,5/9,3/4,5/8,12,1,,
573,"Simplify the fraction 14/4.",7/2,7/6,3/8,1/2,12,1,,
574,"Simplify the fraction 28/20.",2/7,9/2,3/4,7/5,12,4,,
575,"Simplify the fraction 14/49.",5/7,4/9,2/7,3/4,12,3,,
576,"Simplify the fraction 21/14.",1/2,3/2,1/6,5/2,12,2,,
577,"Simplify the fraction 9/6.",7/4,7/5,2/5,3/2,12,4,,
578,"Simplify the fraction 32/56.",9/8,4/7,9/7,8/5,12,2,,
579,"Simplify the fraction 3/6.",1/2,4/9,1/4,1/9,12,1,,
580,"Simplify the fraction 6/42.",8/9,3/2,2/5,1/7,12,4,,
581,"Simplify the fraction 16/56.",5/3,4/7,1/9,2/7,12,4,,
582,"Simplify the fraction 12/10.",1/2,7/8,6/5,9/2,12,3,,
583,"Simplify the fraction 20/12.",1/5,9/7,5/3,7/9,12,3,,
584,"Simplify the fraction 12/54.",2/9,3/8,7/4,5/4,12,1,,
585,"Simplify the fraction 2/16.",4/7,9/2,7/4,1/8,12,4,,
586,"Simplify the fraction 14/12.",4/9,6/7,2/9,7/6,12,4,,
587,"Simplify the fraction 48/42.",5/2,8/7,5/7,1/8,12,2,,
588,"Simplify the fraction 10/18.",6/5,7/3,9/4,5/9,12,4,,
589,"Simplify the fraction 72/56.",1/5,5/3,2/9,9/7,12,4,,
590,"Simplify the fraction 24/32.",4/3,9/4,7/2,3/4,12,4,,
591,"Simplify the fraction 6/30.",7/6,1/5,1/2,3/4,12,2,,
592,"Simplify the fraction 14/16.",2/5,7/8,5/2,9/5,12,2,,
593,"Simplify the fraction 18/81.",9/7,8/9,9/2,2/9,12,4,,
594,"Simplify the fraction 63/14.",1/5,9/2,1/3,7/8,12,2,,
595,"Simplify the fraction 35/25.",5/2,7/5,9/7,3/8,12,2,,
596,"Simplify the fraction 21/49.",3/7,7/3,9/4,1/4,12,1,,
597,"Simplify the fraction 45/40.",5/9,1/5,1/9,9/8,12,4,,
598,"Simplify the fraction 20/35.",5/6,9/2,4/7,6/7,12,3,,
599,"Simplify the fraction 24/15.",8/7,8/5,1/9,6/5,12,2,,
600,"Simplify the fraction 21/14.",3/2,4/9,2/9,5/2,12,1,,
601,"Simplify the fraction 4/10.",7/8,2/5,7/6,3/4,12,2,,
602,"Simplify the fraction 12/32.",2/7,1/7,3/8,6/7,12,3,,
603,"Simplify the fraction 36/45.",2/5,4/5,3/8,9/5,12,2,,
604,"Simplify the fraction 56/63.",7/8,5/9,8/3,8/9,12,4,,
605,"Simplify the fraction 63/27.",7/3,8/7,2/7,1/6,12,1,,
606,"Simplify the fraction 3/15.",8/3,1/5,2/7,5/9,12,2,,
607,"Simplify the fraction 63/54.",1/5,5/2,7/6,3/7,12,3,,
608,"Simplify the fraction 30/25.",4/5,5/9,7/3,6/5,12,4,,
609,"Simplify the fraction 21/9.",3/4,9/8,7/3,7/6,12,3,,
610,"Simplify the fraction 45/35.",5/7,4/3,9/7,4/7,12,3,,
611,"Simplify the fraction 25/10.",5/2,8/3,5/8,4/3,12,1,,
612,"Simplify the fraction 9/45.",1/3,1/5,1/8,5/9,12,2,,
613,"Simplify the fraction 45/36.",5/4,5/8,8/3,5/9,12,1,,
614,"Simplify the fraction 45/18.",7/6,3/2,8/3,5/2,12,4,,
615,"Simplify the fraction 15/25.",3/5,7/5,5/9,7/3,12,1,,
616,"Simplify the fraction 4/8.",1/8,1/2,2/5,1/4,12,2,,
617,"Simplify the fraction 18/8.",9/2,7/4,7/9,9/4,12,4,,
618,"Simplify the fraction 36/45.",1/2,4/3,2/3,4/5,12,4,,
619,"Simplify the fraction 54/24.",9/2,9/4,5/9,3/7,12,2,,
620,"Simplify the fraction 45/40.",5/4,1/7,8/9,9/8,12,4,,
621,"Simplify the fraction 12/54.",2/7,5/4,4/5,2/9,12,4,,
622,"Simplify the fraction 6/8.",1/2,1/9,3/8,3/4,12,4,,
623,"Simplify the fraction 8/18.",7/3,9/5,1/3,4/9,12,4,,
624,"Simplify the fraction 72/64.",1/3,9/8,9/2,7/4,12,2,,
625,"Simplify the fraction 7/56.",4/5,6/7,1/8,5/8,12,3,,
626,"Simplify the fraction 4/16.",9/5,2/9,1/4,5/3,12,3,,
627,"Simplify the fraction 63/56.",7/3,6/7,9/8,1/2,12,3,,
628,"Simplify the fraction 10/15.",2/3,1/8,7/2,8/5,12,1,,
629,"Simplify the fraction 24/20.",6/5,5/8,3/7,4/3,12,1,,
630,"Simplify the fraction 42/35.",6/5,3/5,5/7,1/3,12,1,,
631,"Simplify the fraction 24/16.",5/7,2/9,2/3,3/2,12,4,,
632,"Simplify the fraction 6/24.",7/8,1/9,4/7,1/4,12,4,,
633,"Simplify the fraction 20/24.",8/3,4/5,3/2,5/6,12,4,,
634,"Simplify the fraction 42/12.",8/3,2/3,7/2,1/7,12,3,,
635,"Simplify the fraction 36/16.",5/7,9/5,5/2,9/4,12,4,,
636,"Simplify the fraction 20/25.",5/4,4/9,4/5,9/7,12,3,,
637,"Simplify the fraction 20/15.",8/7,4/3,9/8,9/7,12,2,,
638,"Simplify the fraction 8/18.",4/9,1/5,3/5,1/4,12,1,,
639,"Simplify the fraction 4/8.",1/3,7/4,1/2,2/5,12,3,,
640,"Simplify the fraction 18/45.",4/7,2/9,9/8,2/5,12,4,,
641,"Simplify the fraction 2/10.",4/3,7/4,1/5,7/2,12,3,,
642,"Simplify the fraction 45/72.",5/3,9/2,2/9,5/8,12,4,,
643,"Simplify the fraction 6/24.",1/4,9/7,3/5,2/7,12,1,,
644,"Simplify the fraction 12/18.",2/3,7/5,3/8,1/4,12,1,,
645,"Simplify the fraction 49/63.",7/6,8/7,7/5,7/9,12,4,,
646,"Simplify the fraction 3/27.",1/3,3/8,5/8,1/9,12,4,,
647,"Simplify the fraction 45/27.",7/2,4/7,4/5,5/3,12,4,,
648,"Simplify the fraction 8/16.",5/8,2/9,1/2,7/5,12,3,,
649,"Simplify the fraction 28/21.",9/2,3/5,8/5,4/3,12,4,,
650,"Simplify the fraction 10/25.",2/5,3/2,7/6,3/7,12,1,,
651,"Simplify the fraction 14/6.",9/5,7/3,8/5,1/7,12,2,,
652,"Simplify the fraction 36/63.",6/5,5/6,1/7,4/7,12,4,,
653,"Simplify the fraction 27/72.",7/4,5/6,1/7,3/8,12,4,,
654,"Simplify the fraction 28/16.",2/3,3/2,7/4,5/2,12,3,,
655,"Simplify the fraction 18/14.",9/5,9/7,3/8,4/5,12,2,,
656,"Simplify the fraction 63/18.",7/8,4/3,7/2,8/9,12,3,,
657,"Simplify the fraction 28/36.",1/5,7/9,1/2,1/9,12,2,,
658,"Simplify the fraction 27/36.",3/4,7/2,7/6,2/9,12,1,,
659,"Simplify the fraction 28/16.",1/3,7/4,1/9,8/5,12,2,,
660,"Simplify the fraction 28/12.",2/7,7/3,3/8,1/3,12,2,,
661,"Simplify the fraction 12/14.",7/6,7/2,6/7,4/7,12,3,,
662,"Simplify the fraction 15/9.",1/3,5/3,5/9,7/2,12,2,,
663,"Simplify the fraction 56/24.",8/9,7/3,5/7,4/5,12,2,,
664,"Simplify the fraction 6/10.",3/2,1/3,3/5,3/8,12,3,,
665,"Simplify the fraction 35/30.",5/9,8/5,3/4,7/6,12,4,,
666,"Simplify the fraction 8/12.",1/3,4/3,2/3,9/7,12,3,,
667,"Simplify the fraction 16/12.",9/2,7/2,3/4,4/3,12,4,,
668,"Simplify the fraction 32/36.",9/2,5/7,8/9,1/9,12,3,,
669,"Simplify the fraction 10/18.",9/4,5/9,8/3,6/5,12,2,,
670,"Simplify the fraction 6/9.",2/3,6/7,1/9,7/5,12,1,,
671,"Simplify the fraction 30/24.",1/8,5/4,5/6,3/2,12,2,,
672,"Simplify the fraction 15/40.",1/6,9/4,1/8,3/8,12,4,,
673,"Simplify the fraction 9/21.",7/2,3/2,3/4,3/7,12,4,,
674,"Simplify the fraction 20/16.",5/4,8/9,1/4,2/7,12,1,,
675,"Simplify the fraction 10/45.",4/3,3/7,2/9,1/7,12,3,,
676,"Simplify the fraction 81/18.",3/7,5/4,9/2,3/5,12,3,,
677,"Simplify the fraction 30/12.",1/4,1/8,2/3,5/2,12,4,,
678,"Simplify the fraction 20/8.",4/7,4/5,8/7,5/2,12,4,,
679,"Simplify the fraction 40/15.",8/7,8/9,1/3,8/3,12,4,,
680,"Simplify the fraction 81/18.",2/3,7/2,9/2,3/4,12,3,,
681,"Simplify the fraction 14/16.",7/8,5/2,3/2,7/2,12,1,,
682,"Simplify the fraction 32/20.",8/5,4/5,1/9,3/2,12,1,,
683,"Simplify the fraction 63/81.",8/7,3/7,7/9,5/8,12,3,,
684,"Simplify the fraction 36/32.",9/4,9/8,8/7,7/9,12,2,,
685,"Simplify the fraction 7/42.",1/6,3/4,1/5,8/7,12,1,,
686,"Simplify the fraction 72/16.",1/4,2/7,8/3,9/2,12,4,,
687,"Simplify the fraction 20/35.",5/6,3/2,1/7,4/7,12,4,,
688,"Simplify the fraction 27/6.",1/6,9/2,7/8,1/8,12,2,,
689,"Simplify the fraction 18/42.",1/9,7/3,8/5,3/7,12,4,,
690,"Simplify the fraction 18/30.",3/7,4/5,4/7,3/5,12,4,,
691,"Simplify the fraction 3/27.",1/9,1/8,6/7,5/7,12,1,,
692,"Simplify the fraction 4/32.",8/5,1/9,2/7,1/8,12,4,,
693,"Simplify the fraction 16/10.",2/5,1/2,4/3,8/5,12,4,,
694,"Simplify the fraction 25/40.",5/9,9/5,7/9,5/8,12,4,,
695,"Simplify the fraction 40/35.",8/5,8/7,3/5,7/4,12,2,,
696,"Simplify the fraction 8/32.",1/3,1/4,2/5,2/7,12,2,,
697,"Simplify the fraction 21/9.",5/2,7/3,1/9,6/7,12,2,,
698,"Simplify the fraction 4/32.",7/2,1/8,9/5,2/3,12,2,,
699,"Simplify the fraction 14/12.",6/5,7/6,3/2,8/7,12,2,,
700,"Simplify the fraction 20/12.",5/3,6/7,7/5,9/2,12,1,,
701,"Simplify the fraction 12/8.",1/2,5/9,1/6,3/2,12,4,,
702,"Simplify the fraction 25/30.",4/7,3/8,3/7,5/6,12,4,,
703,"Simplify the fraction 40/15.",8/3,9/2,5/3,7/2,12,1,,
704,"Simplify the fraction 10/18.",7/4,5/9,2/5,1/2,12,2,,
705,"Simplify the fraction 28/12.",2/9,7/3,3/5,1/3,12,2,,
706,"Simplify the fraction 72/16.",5/3,2/3,7/2,9/2,12,4,,
707,"Simplify the fraction 16/18.",8/9,7/2,5/7,1/2,12,1,,
708,"Simplify the fraction 12/15.",5/8,4/5,9/8,8/7,12,2,,
709,"Simplify the fraction 14/10.",7/9,9/2,7/5,1/7,12,3,,
710,"Simplify the fraction 63/54.",7/2,6/5,8/7,7/6,12,4,,
711,"Simplify the fraction 63/28.",9/4,8/5,4/5,7/8,12,1,,
712,"Simplify the fraction 54/30.",9/4,1/9,3/4,9/5,12,4,,
713,"Simplify the fraction 56/24.",6/7,8/5,7/3,8/9,12,3,,
